N,P,K,temperature,humidity,ph,rainfall,label,yield
42.04,69.77,85.13,18.25,19.84,6.18,41.83,chickpea,1.91
45.82,66.66,85.37,20.35,23.64,6.97,39.93,chickpea,1.44
38.79,73.52,86.26,18.42,16.49,6.65,38.41,chickpea,2.12
50.01,65.07,82.91,22.2,22.24,5.8,33.17,chickpea,2.18
40.13,71.96,91.57,23.78,23.86,5.53,57.97,chickpea,2.13
42.75,79.59,79.22,18.22,19.46,6.59,57.7,chickpea,2.24
52.58,71.71,84.37,22.71,23.91,6.98,52.91,chickpea,1.87
59.05,79.17,82.7,15.72,18.05,6.69,43.76,chickpea,1.02
59.25,75.47,75.92,20.96,15.19,5.62,44.3,chickpea,2.01
38.6,67.61,80.37,18.5,14.57,6.95,44.89,chickpea,2.25
17.76,60.81,18.31,18.41,21.72,6.77,97.82,kidneybeans,0.86
24.75,63.15,21.79,18.2,19.69,5.64,99.61,kidneybeans,2.0
24.24,60.05,23.23,22.28,23.0,6.44,108.13,kidneybeans,1.81
17.14,60.76,21.36,20.12,19.21,6.21,101.09,kidneybeans,1.43
17.52,58.79,24.87,19.65,23.26,6.06,127.61,kidneybeans,1.03
17.95,63.16,24.53,23.13,23.39,6.16,112.66,kidneybeans,1.3
19.23,60.05,21.63,20.05,18.03,6.84,128.86,kidneybeans,1.22
21.88,56.54,22.44,23.09,19.7,6.88,123.07,kidneybeans,1.95
16.0,59.75,20.9,19.68,20.35,6.66,127.35,kidneybeans,1.91
19.44,60.93,21.45,24.78,20.44,5.74,128.6,kidneybeans,0.86
24.09,55.99,18.52,18.26,22.17,5.7,97.92,kidneybeans,0.91
23.42,62.21,18.76,25.34,23.72,6.93,92.81,kidneybeans,1.47
18.61,60.28,24.84,19.55,20.72,6.75,122.28,kidneybeans,1.97
22.07,59.09,21.68,25.29,22.0,6.09,129.68,kidneybeans,1.6
24.1,64.3,19.78,24.3,21.31,6.78,107.41,kidneybeans,1.3
22.75,61.2,18.12,24.88,20.74,6.4,113.39,kidneybeans,1.94
22.28,59.45,20.87,26.79,24.29,6.8,124.86,kidneybeans,1.0
15.76,59.16,18.87,21.87,22.42,5.5,121.74,kidneybeans,1.06
19.88,58.9,21.28,25.79,21.54,5.98,112.0,kidneybeans,0.89
23.96,63.73,19.93,23.15,24.99,6.63,112.31,kidneybeans,1.18
17.22,62.28,23.31,24.05,20.17,5.85,109.1,kidneybeans,1.46
19.76,62.38,18.05,21.63,18.49,6.32,101.41,kidneybeans,1.64
20.13,57.05,20.99,25.99,19.63,6.43,125.03,kidneybeans,1.17
18.22,56.32,20.09,21.99,23.58,5.96,93.62,kidneybeans,1.21
17.97,61.21,23.09,22.02,24.74,6.08,112.31,kidneybeans,0.93
17.54,60.94,24.44,26.66,21.26,6.91,128.5,kidneybeans,1.48
24.24,55.49,19.04,20.35,24.55,6.42,92.32,kidneybeans,1.65
17.81,55.39,21.0,21.15,22.18,6.41,127.68,kidneybeans,0.82
18.49,60.04,22.73,25.98,21.97,6.66,122.12,kidneybeans,1.79
16.31,63.27,20.51,25.86,22.84,5.82,93.09,kidneybeans,0.88
16.53,56.82,22.0,21.27,24.89,6.56,100.85,kidneybeans,1.88
23.18,59.78,22.85,23.4,19.09,6.52,117.42,kidneybeans,1.55
18.01,63.36,18.72,19.13,23.68,5.82,117.07,kidneybeans,1.13
19.71,58.63,21.38,26.9,24.26,6.63,93.8,kidneybeans,1.87
15.84,55.51,19.61,26.32,18.86,6.8,125.85,kidneybeans,1.56
20.19,61.91,21.36,24.74,19.17,6.92,91.83,kidneybeans,1.25
23.15,57.29,23.32,20.13,23.04,6.29,103.17,kidneybeans,1.73
23.89,56.75,18.05,24.09,21.09,6.89,127.09,kidneybeans,1.51
24.66,57.48,23.13,25.55,21.72,5.59,126.52,kidneybeans,1.77
22.07,56.96,21.96,26.62,19.92,6.44,111.5,kidneybeans,1.31
18.94,63.43,23.29,24.82,22.11,6.79,96.01,kidneybeans,1.26
24.23,59.29,22.51,20.52,24.91,5.84,125.53,kidneybeans,1.78
17.47,55.59,20.02,19.59,18.17,6.74,90.4,kidneybeans,1.85
18.17,59.52,24.66,24.73,22.43,5.84,95.52,kidneybeans,1.0
18.04,60.62,20.35,21.98,18.36,6.42,98.84,kidneybeans,1.97
18.7,59.83,24.06,20.49,20.21,6.93,94.72,kidneybeans,0.95
20.24,57.61,24.2,25.67,21.0,6.03,102.81,kidneybeans,1.32
21.28,59.55,22.56,21.69,19.11,6.55,95.09,kidneybeans,1.06
23.98,59.72,20.57,20.32,19.01,6.92,97.32,kidneybeans,0.94
16.45,61.98,18.66,25.94,23.81,6.77,96.4,kidneybeans,1.34
19.47,64.84,22.29,23.74,23.61,6.35,125.85,kidneybeans,1.17
20.14,55.28,18.56,22.99,18.38,6.08,129.07,kidneybeans,1.07
19.23,59.91,24.14,26.43,20.59,6.08,129.2,kidneybeans,1.38
15.34,59.53,24.54,23.26,21.97,6.23,113.07,kidneybeans,0.86
22.67,62.45,19.25,26.61,21.03,6.54,90.39,kidneybeans,1.83
20.42,61.25,23.15,21.65,18.65,6.87,99.27,kidneybeans,1.54
20.2,62.71,19.88,25.92,24.54,6.46,129.61,kidneybeans,1.77
22.63,62.65,22.31,22.8,23.09,6.18,124.16,kidneybeans,0.88
17.55,61.48,21.69,24.83,21.07,6.94,113.08,kidneybeans,1.97
24.66,59.3,23.77,21.9,22.89,6.39,124.2,kidneybeans,1.3
20.23,64.26,22.1,20.67,22.46,6.02,106.91,kidneybeans,1.84
19.92,57.12,19.48,21.96,24.88,5.99,117.0,kidneybeans,1.7
19.27,56.18,19.68,18.4,20.1,6.48,96.13,kidneybeans,1.5
20.3,55.45,19.31,21.03,20.73,6.9,121.77,kidneybeans,1.87
18.89,61.83,18.57,18.17,24.03,6.44,100.13,kidneybeans,1.2
24.22,59.0,24.26,23.6,21.45,6.73,128.15,kidneybeans,0.87
24.24,64.74,23.04,18.37,21.35,5.58,122.98,kidneybeans,1.0
18.53,62.77,24.5,25.86,18.64,6.05,116.29,kidneybeans,0.87
24.22,60.44,21.75,21.7,24.46,5.7,105.5,kidneybeans,0.85
19.77,59.39,19.37,19.4,20.97,6.93,126.59,kidneybeans,1.5
17.78,58.96,19.77,20.61,20.8,6.59,93.85,kidneybeans,1.87
18.96,56.22,22.37,20.13,22.37,6.06,104.75,kidneybeans,0.89
16.54,59.85,22.42,22.45,18.35,6.97,103.29,kidneybeans,1.51
16.31,63.94,24.34,24.99,24.72,6.49,95.77,kidneybeans,1.97
23.53,64.71,20.16,24.05,24.78,6.66,96.12,kidneybeans,1.11
22.85,56.08,18.97,25.2,18.12,6.92,90.08,kidneybeans,1.41
20.41,56.47,22.89,26.44,19.41,6.81,95.67,kidneybeans,1.44
23.97,59.43,21.5,18.73,22.47,6.57,96.09,kidneybeans,1.11
19.3,62.33,22.83,20.76,22.82,6.86,125.22,kidneybeans,0.91
22.79,58.64,24.43,24.11,21.61,5.84,94.99,kidneybeans,1.41
20.72,60.56,21.44,24.02,24.02,5.64,99.07,kidneybeans,1.11
17.61,56.33,19.19,26.22,21.46,6.59,96.71,kidneybeans,1.78
17.17,55.28,21.85,23.73,22.98,5.55,90.01,kidneybeans,1.65
22.38,63.2,19.46,21.48,19.72,6.96,93.78,kidneybeans,1.77
22.94,55.77,20.69,20.7,19.24,5.52,97.24,kidneybeans,1.16
24.54,62.04,22.63,20.93,19.06,6.41,126.91,kidneybeans,0.82
15.44,60.91,23.14,22.32,22.23,5.81,117.35,kidneybeans,0.9
15.3,60.27,22.47,19.7,21.66,5.51,107.4,kidneybeans,1.49
24.27,57.47,19.22,25.28,19.98,6.05,100.08,kidneybeans,1.41
21.93,61.88,22.88,18.66,22.92,6.51,118.09,kidneybeans,1.95
22.31,56.98,18.61,18.55,18.74,5.98,120.06,kidneybeans,1.94
20.78,61.75,20.21,23.33,18.59,6.29,93.0,kidneybeans,0.92
17.0,64.27,20.96,22.22,20.98,5.56,94.28,kidneybeans,1.08
17.02,58.67,21.12,23.72,22.53,6.53,109.2,kidneybeans,1.76
23.57,57.77,20.42,25.53,23.85,6.84,111.47,kidneybeans,1.96
20.43,64.82,21.05,20.4,22.34,5.74,110.41,kidneybeans,1.6
21.14,64.21,20.19,19.21,22.94,6.46,109.93,kidneybeans,1.7
21.19,61.94,23.18,20.19,24.29,5.99,123.46,kidneybeans,1.53
24.13,56.33,19.17,21.07,21.92,6.84,116.36,kidneybeans,1.41
15.71,56.04,22.5,24.23,18.42,5.58,126.01,kidneybeans,0.93
20.0,66.51,23.15,22.38,54.4,5.53,94.43,pigeonpeas,1.26
20.96,66.39,22.82,28.04,33.25,5.79,84.46,pigeonpeas,1.57
17.05,69.25,24.5,23.36,45.87,5.8,92.29,pigeonpeas,0.83
17.17,63.4,21.52,24.51,60.09,5.75,70.15,pigeonpeas,1.31
15.11,63.4,24.46,28.43,35.98,6.58,72.36,pigeonpeas,1.75
19.5,69.13,19.68,27.99,53.85,5.97,75.2,pigeonpeas,0.87
23.2,65.17,22.84,25.68,43.98,6.98,63.01,pigeonpeas,0.89
21.66,61.94,23.55,25.21,54.78,6.64,88.59,pigeonpeas,0.82
19.95,69.74,23.93,29.57,35.4,5.86,81.42,pigeonpeas,1.8
19.13,68.99,18.17,26.3,47.58,6.68,71.77,pigeonpeas,1.36
23.95,64.64,24.97,25.58,44.14,6.48,60.45,pigeonpeas,1.57
23.46,65.94,18.56,26.75,67.88,6.47,88.63,pigeonpeas,1.0
21.6,61.67,22.3,25.64,53.63,5.86,74.74,pigeonpeas,1.69
24.48,68.17,19.97,27.16,60.39,6.13,63.27,pigeonpeas,0.73
23.76,68.38,21.52,27.42,59.55,6.94,83.47,pigeonpeas,1.27
17.36,60.91,24.13,24.02,59.13,6.54,82.02,pigeonpeas,0.8
21.27,65.45,24.16,22.39,51.34,6.73,88.65,pigeonpeas,0.93
24.93,63.22,23.16,23.75,69.09,6.67,85.74,pigeonpeas,1.37
18.75,69.23,19.64,24.01,32.56,6.72,97.65,pigeonpeas,1.23
19.05,64.43,20.2,28.03,32.42,6.15,88.1,pigeonpeas,1.21
18.5,68.08,18.95,23.93,43.44,6.32,60.88,pigeonpeas,0.74
19.45,63.28,21.26,29.6,60.0,6.64,71.97,pigeonpeas,1.27
16.68,67.93,22.79,22.88,33.42,6.92,68.23,pigeonpeas,1.47
23.14,67.57,21.62,28.91,66.34,6.5,77.31,pigeonpeas,1.74
17.3,66.57,20.17,28.98,65.77,6.19,88.08,pigeonpeas,0.98
23.25,65.36,18.94,22.15,64.08,6.95,76.05,pigeonpeas,1.49
15.97,68.13,21.07,27.02,64.83,6.56,78.64,pigeonpeas,1.02
24.47,64.96,22.77,26.71,46.78,5.78,97.71,pigeonpeas,1.77
15.16,64.35,20.19,25.29,56.97,6.63,92.58,pigeonpeas,1.68
21.31,61.61,21.38,25.36,43.32,6.35,80.27,pigeonpeas,1.41
16.32,68.04,23.65,26.59,54.41,6.24,86.09,pigeonpeas,1.45
15.28,62.87,23.41,24.98,52.65,6.26,99.69,pigeonpeas,1.72
21.92,60.17,24.44,29.52,48.48,5.66,61.74,pigeonpeas,1.14
18.31,63.33,22.57,29.83,66.33,5.6,95.81,pigeonpeas,1.09
23.17,63.93,20.51,26.91,45.74,5.51,71.29,pigeonpeas,0.98
24.23,66.3,19.36,22.59,57.07,6.47,78.99,pigeonpeas,0.81
17.51,60.09,22.72,26.69,64.55,6.49,87.36,pigeonpeas,1.65
19.64,66.81,19.99,24.71,69.71,6.38,97.13,pigeonpeas,0.79
18.99,63.57,24.5,29.56,35.91,6.81,87.43,pigeonpeas,1.79
23.74,62.45,19.19,22.16,30.44,6.16,65.0,pigeonpeas,0.89
21.77,66.94,20.35,27.66,50.19,6.21,94.35,pigeonpeas,1.61
17.01,62.72,21.42,27.58,46.81,5.94,69.09,pigeonpeas,1.0
16.29,68.76,20.73,24.96,31.74,5.9,74.39,pigeonpeas,1.66
18.63,65.75,20.38,24.82,57.45,5.78,65.81,pigeonpeas,1.24
17.64,60.73,18.05,22.93,61.78,6.32,98.15,pigeonpeas,0.82
18.14,61.2,19.15,25.08,66.74,6.94,71.23,pigeonpeas,1.74
24.76,67.21,18.46,25.13,68.36,6.4,82.19,pigeonpeas,1.74
23.81,64.34,19.41,23.57,40.08,6.33,70.66,pigeonpeas,0.75
18.66,65.79,18.82,23.06,37.39,5.53,90.61,pigeonpeas,1.27
17.56,66.62,21.54,25.34,49.08,6.77,71.71,pigeonpeas,1.6
24.84,67.38,19.59,22.98,43.45,6.94,66.99,pigeonpeas,1.16
16.95,67.63,19.2,27.94,61.8,5.79,64.02,pigeonpeas,0.77
19.26,66.65,23.12,28.48,37.09,6.52,94.29,pigeonpeas,1.54
19.99,60.2,23.05,28.59,64.96,5.77,85.71,pigeonpeas,1.35
17.27,63.5,19.66,22.72,38.51,5.53,76.25,pigeonpeas,1.04
23.96,66.43,22.35,28.56,59.91,5.9,63.27,pigeonpeas,1.1
22.48,66.21,18.78,28.16,60.25,6.44,65.03,pigeonpeas,1.46
24.37,64.55,19.3,22.88,61.41,6.08,63.9,pigeonpeas,1.08
22.36,69.59,21.47,23.66,39.19,6.74,66.99,pigeonpeas,1.39
18.36,69.24,22.6,28.66,52.46,5.65,61.44,pigeonpeas,1.77
23.01,61.88,23.3,26.29,60.94,5.82,60.03,pigeonpeas,1.02
15.14,61.81,22.38,27.69,34.01,5.73,86.69,pigeonpeas,1.27
24.22,68.21,24.38,22.71,68.31,5.96,96.78,pigeonpeas,0.74
22.21,61.27,21.75,24.73,53.09,6.81,63.93,pigeonpeas,1.36
24.98,68.81,24.79,24.99,46.81,6.38,69.58,pigeonpeas,1.42
17.98,62.84,18.99,25.0,66.37,6.05,72.97,pigeonpeas,0.83
23.06,60.89,18.64,28.54,54.61,5.71,65.66,pigeonpeas,1.29
21.55,69.86,19.53,23.2,51.29,6.36,64.52,pigeonpeas,1.52
15.97,64.45,21.89,22.55,52.31,6.81,96.52,pigeonpeas,1.71
23.35,62.48,18.49,25.19,66.36,5.96,93.24,pigeonpeas,1.3
19.21,65.87,22.98,28.03,40.26,5.84,85.41,pigeonpeas,1.1
23.8,60.96,18.66,24.42,38.61,6.75,70.15,pigeonpeas,1.39
17.63,68.8,24.92,25.83,50.94,6.02,74.91,pigeonpeas,1.79
20.22,62.8,23.39,23.33,56.11,5.6,77.39,pigeonpeas,1.29
24.08,62.25,22.18,22.47,47.68,5.74,60.91,pigeonpeas,0.77
20.21,65.9,21.14,22.4,44.92,5.61,85.28,pigeonpeas,1.09
17.79,67.12,21.25,24.75,66.39,6.38,76.33,pigeonpeas,1.09
24.67,67.71,21.71,24.55,53.92,6.72,78.6,pigeonpeas,1.67
20.3,61.19,18.31,24.67,66.16,6.17,98.84,pigeonpeas,0.72
19.81,62.84,23.03,28.32,35.98,6.7,69.11,pigeonpeas,1.41
15.1,65.29,21.82,24.74,43.48,5.53,94.73,pigeonpeas,1.03
20.78,69.66,22.96,22.58,54.9,5.82,96.99,pigeonpeas,1.67
24.79,62.1,23.2,29.25,42.01,6.61,95.59,pigeonpeas,1.37
23.88,60.54,21.22,28.76,45.22,6.51,80.01,pigeonpeas,1.05
22.13,64.66,21.41,24.08,31.84,6.84,77.75,pigeonpeas,0.93
19.84,65.83,18.69,28.39,41.83,5.88,72.93,pigeonpeas,1.14
17.45,67.22,23.14,26.88,47.13,6.55,75.31,pigeonpeas,1.72
22.5,62.54,21.58,28.46,38.61,5.83,99.1,pigeonpeas,1.4
17.64,62.1,23.7,23.72,66.68,6.46,78.55,pigeonpeas,1.67
16.91,69.64,22.86,27.26,57.5,6.52,90.08,pigeonpeas,1.41
24.21,64.63,22.69,25.4,37.49,6.51,61.86,pigeonpeas,0.85
22.42,68.22,20.33,25.42,47.21,5.88,75.73,pigeonpeas,0.88
17.72,69.01,22.85,27.49,44.35,6.44,82.0,pigeonpeas,1.55
15.03,68.92,20.99,23.3,34.98,5.67,82.66,pigeonpeas,1.57
21.35,69.39,24.57,22.7,37.69,6.41,96.06,pigeonpeas,1.22
24.68,67.38,21.56,23.15,34.73,6.41,80.19,pigeonpeas,1.4
19.75,66.0,24.92,25.37,48.97,6.37,63.01,pigeonpeas,1.53
20.46,66.74,23.64,23.89,36.95,6.25,65.97,pigeonpeas,1.22
20.88,62.42,23.42,25.26,47.13,6.25,62.61,pigeonpeas,1.55
17.25,61.93,22.27,25.86,60.52,6.79,79.67,pigeonpeas,1.6
21.96,52.23,24.61,30.51,39.25,3.99,29.46,mothbeans,1.03
18.03,50.28,26.46,26.24,35.73,5.99,28.21,mothbeans,1.44
23.97,45.54,25.2,27.48,37.27,4.54,41.03,mothbeans,1.25
23.58,46.17,20.01,33.39,49.81,5.57,52.67,mothbeans,1.43
18.54,48.42,26.55,34.83,33.79,6.99,53.0,mothbeans,1.09
24.29,51.12,23.28,31.92,42.89,5.75,33.4,mothbeans,0.79
18.27,52.08,27.21,27.85,48.58,5.43,49.62,mothbeans,0.7
20.86,52.91,21.67,30.04,37.26,4.4,38.25,mothbeans,0.75
18.73,47.62,27.16,25.48,39.36,3.98,49.83,mothbeans,1.06
21.02,47.48,23.16,31.88,46.01,3.88,20.98,mothbeans,1.1
21.97,49.01,24.22,34.8,45.77,3.65,26.23,mothbeans,1.18
22.58,46.57,20.81,29.79,35.11,4.54,53.39,mothbeans,0.74
21.82,54.68,25.18,33.39,46.08,4.81,42.57,mothbeans,0.74
20.93,44.04,23.69,34.97,49.47,6.61,48.71,mothbeans,0.5
23.34,48.63,27.86,26.24,50.45,5.6,33.11,mothbeans,0.52
19.49,44.63,26.65,31.5,54.05,5.91,30.87,mothbeans,0.57
22.18,49.65,25.46,29.46,40.31,6.78,42.22,mothbeans,1.01
23.7,52.38,24.02,32.86,32.1,6.36,33.47,mothbeans,1.19
19.9,52.03,24.24,26.21,48.83,4.12,23.99,mothbeans,1.25
24.55,44.48,19.6,31.14,30.73,3.51,25.0,mothbeans,1.33
18.82,45.31,25.69,33.38,47.97,6.37,21.64,mothbeans,1.09
23.47,51.94,24.42,27.43,45.86,5.39,24.17,mothbeans,0.99
21.18,45.68,25.6,25.13,32.68,4.14,43.92,mothbeans,1.47
18.01,46.46,18.64,29.49,38.61,4.64,48.62,mothbeans,0.83
23.79,54.17,24.24,26.24,31.05,6.26,51.52,mothbeans,0.94
21.32,54.6,27.59,30.03,30.6,4.05,49.31,mothbeans,0.84
20.9,47.15,26.24,30.34,33.68,4.53,47.21,mothbeans,1.29
24.93,47.85,26.34,25.34,33.41,5.05,32.93,mothbeans,0.96
24.65,51.02,22.17,25.65,42.04,6.07,22.84,mothbeans,1.23
24.21,50.01,27.57,26.8,48.15,6.45,32.62,mothbeans,1.37
19.66,52.49,27.71,28.06,37.87,6.86,36.9,mothbeans,0.75
25.0,47.52,27.24,25.8,41.02,3.82,24.4,mothbeans,1.23
20.83,49.16,25.22,24.14,44.05,6.65,50.44,mothbeans,0.67
20.28,51.0,22.65,28.39,31.78,4.03,46.56,mothbeans,0.97
21.98,49.52,21.36,27.4,49.4,6.57,42.43,mothbeans,0.55
21.42,45.58,27.29,24.32,32.95,4.6,42.78,mothbeans,1.32
22.56,53.3,25.94,31.17,43.18,4.34,32.59,mothbeans,0.78
19.41,47.9,23.93,28.05,40.81,5.21,45.97,mothbeans,0.52
21.41,49.12,18.17,27.08,52.02,5.32,48.31,mothbeans,1.18
18.99,47.53,23.04,24.07,39.43,4.11,31.13,mothbeans,0.78
19.8,53.52,27.27,34.83,50.77,6.86,37.55,mothbeans,1.42
23.48,44.75,25.72,33.74,30.04,4.64,44.44,mothbeans,1.11
21.24,52.44,26.75,32.02,40.84,4.88,37.9,mothbeans,0.68
21.94,54.47,25.18,34.1,33.94,5.8,31.2,mothbeans,1.18
24.21,46.53,22.94,32.29,35.54,6.62,29.85,mothbeans,0.62
20.77,53.43,21.26,25.75,47.4,4.65,31.91,mothbeans,0.78
20.1,49.73,23.24,30.05,34.45,7.0,46.06,mothbeans,0.5
19.38,44.12,25.88,25.05,48.34,3.66,48.17,mothbeans,1.38
21.12,45.02,18.68,33.32,50.94,6.12,34.73,mothbeans,1.44
23.2,47.28,24.81,31.93,48.35,4.76,49.07,mothbeans,0.9
18.01,52.91,23.41,32.96,32.92,4.7,50.38,mothbeans,0.88
20.01,47.51,18.89,30.66,49.43,4.81,38.92,mothbeans,1.33
19.2,49.33,25.22,30.76,30.64,4.89,26.4,mothbeans,0.69
22.97,51.95,23.12,31.24,54.2,6.05,40.78,mothbeans,1.17
22.96,49.35,22.13,27.14,36.12,6.89,49.03,mothbeans,0.85
21.82,48.29,21.75,28.72,38.38,4.67,29.37,mothbeans,0.92
21.3,50.61,21.44,28.82,54.34,5.32,50.7,mothbeans,1.29
21.25,54.34,18.53,24.78,34.21,6.27,41.76,mothbeans,0.99
24.03,50.87,20.57,33.86,39.27,6.57,36.0,mothbeans,1.42
20.86,48.03,25.26,26.74,47.22,5.41,20.41,mothbeans,0.62
19.27,49.68,25.33,30.09,48.56,5.55,36.49,mothbeans,0.71
24.33,46.32,22.12,32.51,46.35,3.83,38.56,mothbeans,0.98
20.46,47.19,24.75,26.88,49.11,6.92,40.43,mothbeans,1.46
19.84,54.2,20.66,32.55,51.52,6.59,43.79,mothbeans,1.21
21.39,46.64,23.57,28.03,37.97,5.8,42.63,mothbeans,0.81
22.93,49.45,21.99,33.2,44.69,5.49,48.92,mothbeans,1.16
21.8,54.49,26.55,28.34,35.9,6.64,42.5,mothbeans,1.48
19.01,48.53,26.76,34.54,39.31,3.9,38.59,mothbeans,1.14
20.37,46.48,22.47,34.51,41.77,5.93,34.64,mothbeans,1.34
24.43,52.39,25.52,30.54,42.27,4.1,30.45,mothbeans,0.65
19.11,44.8,25.01,27.2,41.41,3.83,21.19,mothbeans,0.61
24.54,45.49,23.74,25.6,30.78,4.99,42.46,mothbeans,0.53
22.02,50.08,27.67,24.64,34.75,4.5,20.88,mothbeans,1.03
19.37,50.46,19.55,33.09,32.62,5.09,29.26,mothbeans,1.31
22.21,51.07,20.58,30.3,48.54,5.64,33.37,mothbeans,0.62
19.9,45.63,22.82,28.33,45.72,5.37,23.08,mothbeans,1.46
22.51,54.38,22.08,32.15,40.98,6.42,26.42,mothbeans,1.48
21.87,46.14,24.4,31.42,52.62,4.73,37.0,mothbeans,0.95
19.8,54.97,23.07,25.08,49.32,5.85,52.49,mothbeans,0.84
19.97,44.38,20.61,26.41,40.24,6.48,48.63,mothbeans,1.2
18.31,49.56,24.91,28.35,45.03,5.14,41.64,mothbeans,0.89
21.88,50.19,24.41,31.15,40.47,5.52,23.47,mothbeans,0.6
23.12,47.75,19.35,28.42,47.65,4.37,26.25,mothbeans,1.31
20.1,47.44,26.41,34.71,49.49,4.4,33.67,mothbeans,0.62
18.52,46.75,27.81,33.3,46.84,4.99,52.86,mothbeans,0.79
24.0,45.96,21.44,24.45,40.53,4.37,25.11,mothbeans,0.99
23.41,51.67,27.99,28.05,36.71,4.38,48.31,mothbeans,1.13
24.28,45.2,24.53,29.79,50.96,3.57,40.72,mothbeans,1.45
24.64,49.86,24.76,30.77,48.32,5.89,51.58,mothbeans,1.13
24.57,53.4,26.78,31.66,49.26,4.88,42.19,mothbeans,1.27
21.06,50.12,22.39,31.85,49.93,4.38,23.21,mothbeans,1.23
18.49,48.53,18.25,24.03,30.55,5.29,33.54,mothbeans,1.11
18.08,46.16,24.51,30.4,30.31,4.32,41.68,mothbeans,1.21
19.27,51.98,23.74,26.27,53.98,4.85,41.9,mothbeans,0.59
21.58,52.51,26.63,25.6,37.82,6.08,36.1,mothbeans,0.54
23.94,50.8,20.21,34.25,47.57,4.15,40.1,mothbeans,0.58
22.91,45.61,19.92,27.17,51.1,5.42,39.18,mothbeans,1.07
18.41,49.72,23.7,24.92,47.87,6.23,38.98,mothbeans,1.47
24.35,49.49,24.43,24.67,30.94,6.57,53.98,mothbeans,0.7
19.9,52.1,18.47,24.81,41.74,4.69,43.46,mothbeans,0.89
23.42,47.18,22.5,29.53,92.89,7.07,99.75,mungbean,1.31
20.55,52.78,18.74,29.87,87.65,6.53,88.66,mungbean,0.75
22.81,58.32,20.91,31.16,93.13,7.28,99.89,mungbean,1.28
19.44,64.14,21.87,26.78,93.65,6.69,88.25,mungbean,0.98
20.1,54.08,25.19,27.48,86.23,6.38,67.87,mungbean,0.83
23.88,45.06,18.46,27.9,87.75,7.05,65.04,mungbean,1.0
23.93,47.01,23.63,33.63,90.31,6.87,70.91,mungbean,1.34
20.07,57.05,20.5,29.24,90.21,7.17,63.43,mungbean,1.07
21.57,53.8,20.39,26.89,85.35,7.26,70.36,mungbean,0.9
24.71,45.94,26.4,30.68,88.6,7.22,64.66,mungbean,0.82
21.55,49.19,26.85,34.52,87.98,6.96,88.84,mungbean,0.83
18.64,56.5,22.36,32.73,87.7,6.3,72.72,mungbean,1.06
19.58,45.93,23.36,33.31,93.07,7.23,70.31,mungbean,1.24
18.51,52.38,26.21,25.55,88.58,6.55,96.92,mungbean,1.27
24.0,64.83,25.02,25.75,90.35,6.84,73.5,mungbean,0.91
19.55,50.74,19.82,30.8,90.25,6.26,99.04,mungbean,1.38
24.67,53.91,20.24,33.66,88.35,6.72,88.32,mungbean,1.1
23.06,53.36,24.54,25.79,89.11,7.22,90.32,mungbean,1.49
19.37,64.52,25.56,33.78,86.88,6.59,64.61,mungbean,1.15
18.9,48.83,25.44,28.3,94.39,7.11,87.48,mungbean,1.18
22.55,59.93,19.84,25.29,87.73,7.1,83.91,mungbean,1.21
22.88,55.76,22.34,34.55,85.91,7.06,78.6,mungbean,1.03
21.14,50.95,25.62,30.05,90.29,7.13,92.32,mungbean,1.12
24.21,55.09,21.12,25.86,90.77,7.38,94.17,mungbean,1.22
19.5,61.41,21.06,27.59,87.69,7.06,67.26,mungbean,1.42
18.34,45.5,20.15,32.5,87.86,7.38,97.8,mungbean,0.73
18.93,64.45,27.36,27.56,93.13,6.35,89.74,mungbean,1.34
20.75,56.69,19.74,26.52,91.0,7.21,95.59,mungbean,1.41
24.98,62.13,19.79,27.84,94.55,6.66,60.97,mungbean,0.6
23.52,61.69,22.24,33.48,86.34,6.49,90.35,mungbean,0.68
19.09,62.0,25.94,29.13,92.21,7.28,80.59,mungbean,1.42
19.86,61.72,25.28,27.1,93.46,6.53,71.55,mungbean,1.13
18.46,46.68,23.49,25.74,93.63,6.5,82.12,mungbean,1.48
18.01,58.49,20.29,32.88,92.0,7.0,68.0,mungbean,0.86
18.22,52.3,18.13,30.18,88.66,7.23,84.64,mungbean,1.35
19.8,51.4,23.99,26.52,93.99,6.5,89.46,mungbean,1.14
24.98,61.68,21.1,28.21,92.07,7.33,74.7,mungbean,1.29
18.87,64.17,24.81,28.2,87.28,6.64,88.83,mungbean,1.28
18.24,51.61,20.79,34.22,88.95,7.01,79.73,mungbean,1.46
24.22,58.69,20.4,26.81,94.44,6.5,85.08,mungbean,0.61
19.0,58.05,19.78,29.52,93.24,7.44,97.61,mungbean,0.76
24.98,45.12,23.03,27.78,91.17,6.91,86.2,mungbean,0.6
23.41,48.08,23.73,26.0,94.34,7.03,81.03,mungbean,0.73
23.19,55.45,18.63,25.44,85.36,7.5,95.48,mungbean,0.69
20.29,54.89,27.69,32.84,93.64,6.44,71.67,mungbean,0.97
20.52,61.84,24.69,25.68,87.31,7.2,80.18,mungbean,1.12
22.01,48.18,22.5,27.87,92.22,7.08,64.36,mungbean,1.13
20.14,48.14,24.34,31.26,92.58,7.12,95.44,mungbean,1.48
24.61,51.28,22.54,27.79,91.64,7.36,80.6,mungbean,0.64
21.07,50.42,23.46,33.78,93.31,7.22,99.13,mungbean,1.02
19.87,60.26,23.99,34.16,90.33,7.09,70.16,mungbean,1.23
